idx,elevation,slope,aspect,tri,ndvi_min,ndvi_median,ndvi_mean,ndvi_max,evi_min,evi_median,evi_mean,evi_max,ndwi_min,ndwi_median,ndwi_mean,ndwi_max,prec_min,prec_median,prec_mean,prec_max,prec_sum,lst_min,lst_median,lst_mean,lst_max,is_fire
3938,1536.0,89.99848937988281,233.6731719970703,,-0.02825283468019798,0.29090477321301356,0.31670998567696174,0.6472361809045226,-0.11168342330741438,0.22842965307781155,0.18902529816440022,0.3567979396931001,0.12290909090909094,0.21151674181093894,0.24948902275481022,0.44252457320227634,0.0,0.0,0.6057963262785945,15.60860824584961,34.53039059787989,284.56,297.47,296.76,304.82,True
3939,714.0,89.99813842773438,238.17254638671875,,-0.059098391121966735,0.6116883116883117,0.4860666140123737,0.8731895719343419,-0.25852457493263975,0.32494803357057955,0.26545520859059124,0.5080458154732627,0.03752039151712886,0.20896860986547086,0.19591561439491673,0.3116370808678501,0.0,0.0,0.589367552117987,8.737788200378418,53.632447242736816,287.18,299.38,298.2003278688525,306.40000000000003,True
3940,639.0,89.99812316894531,286.2940673828125,,8.005764150187253e-05,0.6809534043576597,0.6243050893614815,0.7729760875828292,0.0007075137965189528,0.2880253301528657,0.301459580180747,0.4722427570669201,0.1788674033149171,0.21909971292880737,0.25146956752896843,0.39966386554621847,0.0,0.0,0.960638858459808,15.998945236206055,87.41813611984253,290.0,296.40000000000003,296.7572972972973,302.44,True
3941,1534.0,89.99906921386719,44.40934371948242,,0.00040541636260444015,0.5706751054852321,0.4701936146474295,0.6895356895356896,0.002000640204865782,0.2336885779368695,0.22256181325059377,0.3490874016916457,-0.03674090995621546,0.15841816520554206,0.14747077635440844,0.3020501138952164,0.0,0.0,0.40428369909852413,14.236387252807617,36.7898166179657,282.12,297.74,295.59815789473686,305.72,True
3944,905.0,89.99916076660156,146.83364868164062,,0.41302738712065135,0.5523486295458375,0.5618944953020018,0.8858151854031785,0.18466563376743017,0.2596862801792684,0.2582641570686076,0.36662452591656136,-0.10589519650655022,0.07573415765069555,0.05766554826639921,0.1888777555110221,0.0,0.0,0.3497554391295045,9.65737533569336,31.827744960784912,,,,,True
3945,1201.0,89.99849700927734,54.619728088378906,,0.03459740259740259,0.47316753926701577,0.3993708073491425,0.5456440183409754,0.12039045553145335,0.24840595111583422,0.23664288777516548,0.30923598506900446,-0.0867622854455678,-0.022513738698812246,0.02622673685584943,0.292239813132624,0.0,0.0,0.9080842485482042,18.886539459228516,49.944633670151234,286.98,301.05,301.0085,310.88,True
3942,1887.0,89.99907684326172,193.4310302734375,,0.029917726252804814,0.44864341085271314,0.35822849229795356,0.6052910052910053,0.066949341664807,0.25092069727473587,0.24113104544817887,0.3787451474833272,-0.1359759157049674,0.05094066570188126,0.029867811170444323,0.11900402782863415,0.0,0.0,0.6740505720178286,10.750247955322266,48.53164118528366,282.78000000000003,297.74,297.2701960784314,308.2,True
3943,227.0,89.98751831054688,11.309928894042969,,0.011711169109281987,0.44107208852870905,0.350223194137237,0.5974749350167101,0.0632408210465456,0.30449262496207097,0.2620056412694083,0.38891380083474186,0.15604237744657934,0.2862989670629507,0.33253099521579527,0.5552516411378556,0.0,0.0,1.616820998813795,27.260093688964844,37.186882972717285,291.1,298.74,297.905,301.74,True
3946,1739.0,89.99871826171875,33.53046798706055,,-0.06588115334504048,0.431241655540721,0.34991257696795197,0.6608478802992519,-0.4560426633205237,0.26688364524003255,0.1878511522931156,0.34713852671560563,-0.010546500479386364,0.16588437234832376,0.15185931934772426,0.32480085921417706,0.0,0.0,0.9965673625942261,25.537174224853516,62.78374384343624,284.24,297.08,297.0044897959184,305.3,True
3947,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.33682638367135553,7.00983190536499,30.65120091409335,,,,,True
3948,1246.0,89.9992446899414,199.72227478027344,,0.015398911456259124,0.6870386772955418,0.5678067672676694,0.7576664173522814,0.0745884773662551,0.33176481771947336,0.3306995535690422,0.5046999036768858,0.022734654108476797,0.20931216931216934,0.19565266337107434,0.339685169842585,0.0,0.0,0.6542727921035264,12.903792381286621,59.5388240814209,290.48,297.64,296.6503846153846,303.02,True
3949,2086.0,89.99938201904297,174.7047882080078,,,,,,,,,,,,,,0.0,0.0,0.135899441582816,4.047039985656738,7.610368728637695,,,,,True
3952,420.0,89.99740600585938,101.7682876586914,,0.35178441369264385,0.456043956043956,0.4764294367045317,0.6313315926892951,0.15970131748700103,0.21901787011477555,0.21358535026639805,0.27084613022113024,-0.08443271767810026,-0.02536505375619397,-0.03014740303599817,0.01457321304649552,0.0,0.0,0.5458700656890869,16.909507751464844,36.027424335479736,291.62,301.4,300.80708333333337,311.3,True
3953,245.0,89.98883056640625,232.12501525878906,,0.009989484752891688,0.4978916145582812,0.4404684549127837,0.6032763532763533,0.04874294510005132,0.28569395547396126,0.266563486924969,0.3560825553528633,-0.02240325865580445,0.1264367816091954,0.10968870880005904,0.19448129477314938,0.0,0.0,0.7028323267842387,14.340258598327637,63.95774173736572,290.24,300.68,300.22409090909093,309.52,True
3950,1462.0,89.9970474243164,111.80140686035156,,-0.031443755535872434,0.30135209384130124,0.31832197302178633,0.6862973760932944,-0.08123307644240738,0.22774913507511796,0.17949511356270959,0.35896995708154505,-0.0155698024335994,0.1473034657650042,0.15944784818923247,0.38285024154589375,0.0,0.0,0.7744387870139264,21.33051872253418,36.39862298965454,287.1,298.28,297.7894117647059,306.64,True
3951,200.0,89.98328399658203,246.80140686035156,,-0.009763617677286736,0.3396844298898482,0.34047901069331876,0.5472360339280492,-0.09030418250950549,0.2402232377562988,0.25038565783410327,0.39663702614160595,-0.017681728880157163,0.08783576456576986,0.10536109495211572,0.350385423966363,0.0,0.0,0.5055117789436789,10.801594734191895,42.96850121021271,289.08,303.62,303.3051724137932,315.04,True
3954,1224.0,89.99855041503906,158.68209838867188,,0.32711038961038963,0.5261980259137375,0.5169088437038373,0.6026533996683251,0.16336954759202205,0.23302182374711042,0.24762245530075905,0.3310256877391146,-0.008192244675040893,0.046709853392430924,0.06463435032852059,0.13613919586174467,0.0,0.0,0.5630796558254367,8.838644981384277,51.240248680114746,284.0,297.54,296.8617241379311,306.7,True
